name,lat,long,region,address 1,address 2,address 3,county
The Bridge Bar,55.131902,-6.676412,northireland,PORTMAGEE,KILLARNEY,,CO. KERRY
The Bridge Bar,55.131902,-6.676412,northireland,RATHBEG,RATHMORE,,CO. KERRY
The Bridge Bar,55.131902,-6.676412,northireland,BRIDGE STREET,RATHANGAN,,CO. KILDARE
The Bridge Bar,55.131902,-6.676412,northireland,BELLVIEW ROAD,MULLINGAR,,CO. WESTMEATH
The Bridge Bar,55.131902,-6.676412,northireland,GOREY BRIDGE,GOREY,,CO. WEXFORD
The Bridge Bar,54.657193,-6.570921,northireland,BRIDGE END,RAMELTON,,CO. DONEGAL
The Bridge Bar,54.657193,-6.570921,northireland,MAIN STREET,BUNDORAN,,CO. DONEGAL
The Bridge Bar,54.657193,-6.570921,northireland,BRIDGE STREET,DUNMORE,,CO. GALWAY
The Bridge Bar,54.657193,-6.570921,northireland,SHOP STREET,TUAM,,CO. GALWAY
The Bridge Bar,54.657193,-6.570921,northireland,PORTMAGEE,KILLARNEY,,CO. KERRY
The Bridge Bar,54.657193,-6.570921,northireland,RATHBEG,RATHMORE,,CO. KERRY
The Bridge Bar,54.657193,-6.570921,northireland,BRIDGE STREET,RATHANGAN,,CO. KILDARE
The Bridge Bar,54.657193,-6.570921,northireland,BELLVIEW ROAD,MULLINGAR,,CO. WESTMEATH
The Bridge Bar,54.657193,-6.570921,northireland,GOREY BRIDGE,GOREY,,CO. WEXFORD
The Bridge Bar,54.293643,-7.464637,northireland,BRIDGE END,RAMELTON,,CO. DONEGAL
The Bridge Bar,54.293643,-7.464637,northireland,MAIN STREET,BUNDORAN,,CO. DONEGAL
The Bridge Bar,54.293643,-7.464637,northireland,BRIDGE STREET,DUNMORE,,CO. GALWAY
The Bridge Bar,54.293643,-7.464637,northireland,SHOP STREET,TUAM,,CO. GALWAY
The Bridge Bar,54.293643,-7.464637,northireland,PORTMAGEE,KILLARNEY,,CO. KERRY
The Bridge Bar,54.293643,-7.464637,northireland,RATHBEG,RATHMORE,,CO. KERRY
The Bridge Bar,54.293643,-7.464637,northireland,BRIDGE STREET,RATHANGAN,,CO. KILDARE
The Bridge Bar,54.293643,-7.464637,northireland,BELLVIEW ROAD,MULLINGAR,,CO. WESTMEATH
The Bridge Bar,54.293643,-7.464637,northireland,GOREY BRIDGE,GOREY,,CO. WEXFORD
The Castle Bar,55.200207,-6.253054,northireland,77 ROCK STREET,TRALEE,,CO. KERRY
The Castle Bar,55.200207,-6.253054,northireland,SEATOWN,DUNDALK,,CO. LOUTH
The Castle Bar,55.200207,-6.253054,northireland,FERNS,,,CO. WEXFORD
The Castle Inn,54.707405,-7.59278,northireland,24 GOVERNEY PLACE,CARLOW,,CO. CARLOW
The Castle Inn,54.707405,-7.59278,northireland,99 SOUTH MAIN STREET,CORK,,CO. CORK
The Castle Inn,54.707405,-7.59278,northireland,ELEVEN BALLYBOES,GREEN CASTEL,,CO. DONEGAL
The Castle Inn,54.707405,-7.59278,northireland,CASTLEMAINE,,,CO. KERRY
The Castle Inn,54.707405,-7.59278,northireland,CASTLEDERMOT,,,CO. KILDARE
The Castle Inn,54.707405,-7.59278,northireland,CARBURY,,,CO. KILDARE
The Castle Inn,54.707405,-7.59278,northireland,NEWTOWNFORBES,,,CO. LONGFORD
The Castle Inn,54.707405,-7.59278,northireland,CASTLE STREET,CASTLEBAR,,CO. MAYO
The Castle Inn,54.707405,-7.59278,northireland,1-2 MAIN STREET,ATHLONE,,CO. WESTMEATH
The Castle Inn,54.707405,-7.59278,northireland,BRIDGE HOUSE,NEWCASTLE,,CO. WICKLOW
The Central Bar,54.451494,-7.487413,northireland,KNOCKNAGREE,MALLOW,,CO. CORK
The Central Bar,54.451494,-7.487413,northireland,40 MAIN STREET,CASTLEISLAND,,CO. KERRY
The Central Bar,54.451494,-7.487413,northireland,BRIDGE STREET,NEWCASTLEWEST,,CO. LIMERICK
The Central Bar,54.451494,-7.487413,northireland,10 CLANBRASSIL STREET,DUNDALK,,CO. LOUTH
The Central Bar,54.451494,-7.487413,northireland,MARKET SQUARE,ROSCOMMON,,CO. ROSCOMMON
The Central Bar,54.826072,-7.464189,northireland,KNOCKNAGREE,MALLOW,,CO. CORK
The Central Bar,54.826072,-7.464189,northireland,40 MAIN STREET,CASTLEISLAND,,CO. KERRY
The Central Bar,54.826072,-7.464189,northireland,BRIDGE STREET,NEWCASTLEWEST,,CO. LIMERICK
The Central Bar,54.826072,-7.464189,northireland,10 CLANBRASSIL STREET,DUNDALK,,CO. LOUTH
The Central Bar,54.826072,-7.464189,northireland,MARKET SQUARE,ROSCOMMON,,CO. ROSCOMMON
The Central Bar,54.647375,-6.744479,northireland,KNOCKNAGREE,MALLOW,,CO. CORK
The Central Bar,54.647375,-6.744479,northireland,40 MAIN STREET,CASTLEISLAND,,CO. KERRY
The Central Bar,54.647375,-6.744479,northireland,BRIDGE STREET,NEWCASTLEWEST,,CO. LIMERICK
The Central Bar,54.647375,-6.744479,northireland,10 CLANBRASSIL STREET,DUNDALK,,CO. LOUTH
The Central Bar,54.647375,-6.744479,northireland,MARKET SQUARE,ROSCOMMON,,CO. ROSCOMMON
The Central Bar,54.807976,-6.519782,northireland,KNOCKNAGREE,MALLOW,,CO. CORK
