ID,name,lat,long,address_1,address_2,address_3,county
1641,The Well,53.3448721,-6.2648165,71 O'connell Street,Ennis,,Co. Clare
1642,The Well,53.3448721,-6.2648165,Burke Street,Fethard,,Co. Tipperary
1643,Esker Inn,53.387802,-7.3782054,Main Street,Tyrellspass,,Co. Westmeath
1644,The Maypole Bar,53.6474715,-7.21216,Collinstown,,,Co. Westmeath
1645,Brennans Bar,33.5001045,-86.7962446,Castletown Geoghan,,,Co. Westmeath
1646,Coffey's,53.3951196,-7.71935,Main Street,Newbridge,,Co. Kildare
1647,Coffey's,53.3951196,-7.71935,Main Street,Moate,,Co. Westmeath
1648,Egans Bar,53.42757,-7.7741059,Cashla,Athenry,,Co. Galway
1649,Egans Bar,53.42757,-7.7741059,Mount Temple,Moate,,Co. Westmeath
1650,Egans Bar,53.42757,-7.7741059,Main Street,Moate,,Co. Westmeath
1651,Coopers,53.4237669,-7.9400661,Abbey Street,Cahir,,Co. Tipperary
1652,Watty's Rock,53.7799558,-7.3884514,Finea,,,Co. Westmeath
1653,The Dog And Duck,53.4487859,-7.8880153,Ballykeeran,Athlone,,Co. Westmeath
1654,The Roadhouse,53.514914,-7.2709259,Ballaghderg,Letterkenny,,Co. Donegal
1655,The Roadhouse,53.514914,-7.2709259,Barnahask,Curracloe,,Co. Wexford
1656,The Wagon Wheel,53.5817909,-7.5349011,Ballynacargy,,,Co. Westmeath
1657,Gonouds,53.3878726,-7.3785587,Main Street,Tyrellspass,,Co. Westmeath
1658,Tormeys Bar,53.5276404,-7.340299,Bunbrosna,Mullingar,,Co. Westmeath
1659,Radisson Sas Hotel,53.4247919,-7.9415798,Ennis Road,,,Co. Limerick
1660,Radisson Sas Hotel,53.4247919,-7.9415798,Northgate Street,Athlone,,Co. Westmeath
1661,Seven Wonders Pub,53.6803847,-7.2266091,Fore,,,Co. Westmeath
1662,Wm Fox's Pub,53.48674,-7.52606,Togherstown,Loughnavalley Ballinea,Mullingar,Co. Westmeath
1663,Tir Na Nog,53.3990504,-7.7407038,Ballymacool,Letterkenny,,Co. Donegal
1664,Tir Na Nog,53.3990504,-7.7407038,Indreabhán,Galway,,Co. Galway
1665,Tir Na Nog,53.3990504,-7.7407038,Dublin Road,Tuam,,Co. Galway
1666,Tir Na Nog,53.3990504,-7.7407038,5-8 Park Street,Monaghan,,Co. Monaghan
1667,Sean's Bar,53.4226598,-7.9423362,Muckno Street,Castleblayney,,Co. Monaghan
1668,Druids Chair,53.525976,-7.3388871,8 Pearse Street,Mullingar,,Co. Westmeath
1669,The Granite Bar,53.3448721,-6.2648165,Raharney,,,Co. Westmeath
1670,Bartley's Bar,53.6359685,-7.1646267,Drumcree,Collinstown,,Co. Westmeath
1671,Comiskey,53.6794443,-7.2987792,The Square,Castlepollard,,Co. Westmeath
1672,Paddy Ryan's Pub,53.3925217,-7.5814905,Listerlin,Tullogher,,Co. Kilkenny
1673,Bar 29,53.5244126,-7.3457741,29 Dominick Street,Mullingar,,Co. Westmeath
1674,The Bridge Bar,53.5259286,-7.3341351,Bridge End,Ramelton,,Co. Donegal
1675,The Bridge Bar,53.5259286,-7.3341351,Main Street,Bundoran,,Co. Donegal
1676,The Bridge Bar,53.5259286,-7.3341351,Bridge Street,Dunmore,,Co. Galway
1677,The Bridge Bar,53.5259286,-7.3341351,Shop Street,Tuam,,Co. Galway
1678,The Bridge Bar,53.5259286,-7.3341351,Portmagee,Killarney,,Co. Kerry
1679,The Bridge Bar,53.5259286,-7.3341351,Rathbeg,Rathmore,,Co. Kerry
1680,The Bridge Bar,53.5259286,-7.3341351,Bridge Street,Rathangan,,Co. Kildare
1681,The Bridge Bar,53.5259286,-7.3341351,Bellview Road,Mullingar,,Co. Westmeath
1682,The Bridge Bar,53.5259286,-7.3341351,Gorey Bridge,Gorey,,Co. Wexford
1683,The Stile,53.7450832,-9.2983712,Navangate,Trim,,Co. Meath
1684,The Stile,53.7450832,-9.2983712,Ballintubber,Rosemount,Moate,Co. Westmeath
1685,The Chambers,53.524307,-7.340948,44 Mount Street,Mullingar,,Co. Westmeath
1686,Meehans,53.5259334,-7.3381378,Coole,Mullingar,,Co. Westmeath
1687,Potters Bar,53.422273,-7.932359,Mill Street,Pettigo,,Co. Donegal
1688,Hook Reilly's,53.4280559,-7.9588265,Bogganfin,Athlone,,Co. Westmeath
1689,Ned Claffeys,53.4462801,-7.4876069,Castletowngeoghegan,,,Co. Westmeath
1690,Egans Bar,53.3959283,-7.7217311,Cashla,Athenry,,Co. Galway
1691,Egans Bar,53.3959283,-7.7217311,Mount Temple,Moate,,Co. Westmeath
1692,Egans Bar,53.3959283,-7.7217311,Main Street,Moate,,Co. Westmeath
1693,The Halfway House,53.5248211,-7.3437954,Tievebane,Burnfoot,Lifford,Co. Donegal
1694,The Halfway House,53.5248211,-7.3437954,Navan Road,Ashtown ( And Extensions Attached And Adjoining Thereto),,Co. Dublin
1695,The Halfway House,53.5248211,-7.3437954,40 Oliver Plunkett Street,Mullingar,,Co. Westmeath
